,Value
0,0.2767728532707296
1,0.36892432319266616
2,-0.05653152126982984
3,-0.37553195791795585
4,-0.5367770833560204
5,-0.11292285147781539
6,-0.3016595776682983
7,0.7659564029409119
8,0.37773882516280266
9,0.036773790250885806
10,-0.16864710638425132
11,-0.3767698716813599
12,0.2741181085638126
13,0.17079097186108355
14,0.024786539186169274
15,0.04609714681171769
16,0.2191469891793213
17,0.26092643406571064
18,0.3358725302423293
19,-0.5833677685128552
20,-0.4065219806529402
21,-0.39570597857664286
22,-0.2108909116624199
23,-0.02228104297015038
24,-0.12172359557523535
25,0.9964938078139769
26,0.02414877038739529
27,-0.13319284651283841
28,-0.27581563278183513
29,-0.27233347676949043
30,0.4073629477144993
31,0.03342072873798763
32,0.5545463123689722
33,-0.21311646877575854
34,0.3513620398295381
35,0.2806365303655022
36,-0.14309144794040002
37,-0.11620687257401092
